word,freq,rel_freq
zählt,64731,0.0008568288508891451
bezug,64703,0.000856458221548877
wobei,64488,0.0008536123176861039
stück,64414,0.0008526327972868238
nacht,63569,0.0008414477332680179
unten,62968,0.0008334924392144055
augen,62901,0.0008326055761501926
boden,62814,0.0008314539778429309
liste,62612,0.0008287801518881394
lohnt,61837,0.0008185216612200038
teams,61503,0.0008141005826610911
punkt,60395,0.0007994342501961953
wirkt,59539,0.0007881035817937126
tolle,59418,0.0007865019335732682
ärzte,59280,0.0007846752603962324
linie,58848,0.0007789569791463813
bauen,58697,0.000776958228061364
super,58580,0.0007754095268895293
weder,58391,0.0007729077788427195
hören,58077,0.0007687514355268554
kreis,57403,0.0007598298578361156
strom,57316,0.0007586782595288539
könne,56166,0.0007434559830535558
guter,55991,0.00074113954967688
passt,55188,0.0007305104296684763
apple,54753,0.0007247524381321679
video,54752,0.0007247392013700155
peter,54578,0.0007224360047554921
licht,54440,0.0007206093315784564
union,54285,0.0007185576334448292
vater,53473,0.0007078093825770536
küche,53424,0.0007071607812315844
kunde,53245,0.0007047914008062988
glück,52986,0.0007013630794088187
nötig,52528,0.0006953006423430043
angst,52517,0.0006951550379593276
arten,52278,0.0006919914518048961
höher,52221,0.0006912369563622073
teile,51585,0.0006828183756332599
hängt,50884,0.0006735394053644044
tritt,50585,0.0006695816134808268
nutzt,50465,0.0006679932020225348
kennt,50327,0.0006661665288454991
zieht,50300,0.0006658091362673834
druck,49769,0.0006587804155644415
dauer,49325,0.0006529032931687612
folgt,49059,0.000649382314436214
sache,48920,0.0006475424044970258
china,48914,0.0006474629839241113
runde,48886,0.0006470923545838431
ebene,48867,0.0006468408561029469
zwölf,48750,0.0006452921549311122
fahrt,47470,0.0006283490993759978
freie,47369,0.0006270121863986021
klein,47349,0.0006267474511555534
herrn,46775,0.0006191495496800568
siehe,46736,0.000618633315956112
zweck,46538,0.0006160124370499302
kurze,46526,0.000615853595904101
fehlt,46154,0.000610929520383396
marke,45904,0.0006076203298452877
staat,45700,0.0006049200303661913
lösen,45629,0.0006039802202533686
näher,44084,0.0005835294227278595
werte,44042,0.0005829734787174573
laufe,43867,0.0005806570453407815
messe,43786,0.0005795848676064345
media,43602,0.0005771493033703868
karte,43456,0.0005752167360961316
lehre,42494,0.0005624829709054909
opfer,42351,0.000560590113917693
desto,42305,0.000559981222858681
müsse,42192,0.0005584854687354561
sonne,42158,0.0005580354188222734
bühne,42068,0.0005568441102285544
texte,41875,0.0005542894151331348
cloud,41873,0.00055426294160883
insel,41367,0.0005475651399596989
forum,40993,0.0005426145909146889
wären,40881,0.0005411320735536164
